"module","file","key","english","chinese","context","placeholders","notes"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","dialogQuestionText","Question","问题","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","dialogWarningText","Warning","警告","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","directoryContentsLabel","Directory Contents","目录内容","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","docPropErrorMessage","Could Not Change Setting","无法更改设置","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","documentsTabList","Documents","文档","Core 相关界面中的界面文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","dontShowForThisFile","Don''t show for this file","不再对此文件显示","Core 相关界面中的界面文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","editableTextColumn","Shortcut","快捷键","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","同一个英文原文在其他 key 中存在不同中文译法"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","emptyLabel","No bindings available","没有可用的快捷键绑定","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","errorCaption","Error","错误","Core 相关界面中的标题（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","exclusiveState","Exclusive {0}","独占显示 {0}","Core 相关界面中的界面文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","executeGroupName","Execute","执行","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","fileChooserTextBoxBrowseLabel","Browse...","浏览…","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","同一个英文原文在其他 key 中存在不同中文译法"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","fileNameLabel","Folder","文件夹","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","filesGroupName","Files","文件","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","filterWidgetLabel","Filter keyboard shortcuts","筛选键盘快捷键","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","filterWidgetPlaceholderText","Filter...","筛选…","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","findButtonText","Find","查找","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","folderNameLabel","Folder name","文件夹名称","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","getFilenameLabel","File name","文件名","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","hideState","Hide {0}","隐藏 {0}","Core 相关界面中的界面文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","hourLabel","{0} hour","{0} 小时","Core 相关界面中的标签或显示文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","hourPluralLabel","{0} hours","{0} 小时","Core 相关界面中的标签或显示文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","illegalNameMessage","Illegal name","非法名称","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","installText","Install","安装","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","installTinyTexText","Install TinyTeX","安装 TinyTeX","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyboardShortcutsText","Keyboard Shortcuts","键盘快捷键","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyComboAlt","Alt+","Alt+","Core 相关界面中的辅助功能说明（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyComboCmd","Cmd+","Cmd+","Core 相关界面中的界面文本（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyComboCtrl","Ctrl+","Ctrl+","Core 相关界面中的界面文本（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyComboShift","Shift+","Shift+","Core 相关界面中的界面文本（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNameBackspace","Backspace","Backspace","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNameDown","Down","下方向键","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","同一个英文原文在其他 key 中存在不同中文译法"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNameEnter","Enter","Enter","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNameLeft","Left","左方向键","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","同一个英文原文在其他 key 中存在不同中文译法"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNamePageDown","PageDown","PageDown","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNamePageUp","PageUp","PageUp","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNameRight","Right","右方向键","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","同一个英文原文在其他 key 中存在不同中文译法"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNameSpace","Space","空格","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNameTab","Tab","Tab","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","中文值与英文原文完全相同；需要人工确认是否为有意保留英文；中文值不含汉字且包含拉丁字母；可能是产品名、缩写或保留英文，需人工确认；同一个英文原文在其他 key 中存在不同中文译法；现有 translation provenance 状态为 needs-review"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","keyNameUp","Up","上方向键","Core 相关界面中的标签或显示文本（CoreClient 资源）。","","同一个英文原文在其他 key 中存在不同中文译法"
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","localReposText","Local repositories:","本地仓库:","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","localReposTitle","Help on local Packrat repositories","本地 Packrat 仓库帮助","Core 相关界面中的标题（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","mainMenuGroupName","Main Menu (Server)","主菜单（服务器）","Core 相关界面中的菜单项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","manualRefreshLabel","Manual Refresh Only","仅手动刷新","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","maximizeState","Maximize {0}","最大化 {0}","Core 相关界面中的界面文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","minimizedTabListRole","{0} minimized","{0} 最小化","Core 相关界面中的界面文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","minimizeState","Minimize {0}","最小化 {0}","Core 相关界面中的界面文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","minuteLabel","{0} minute","{0} 分钟","Core 相关界面中的标签或显示文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","minutePluralLabel","{0} minutes","{0} 分钟","Core 相关界面中的标签或显示文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","multiGestureMessage","Multi-gesture shortcut pending","等待多键快捷键的后续按键","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","nameColumnText","Name","名称","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","nameEmptyMessage","Name is empty","名称为空","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","nameIllegalCharacterMessage","Illegal character: /","非法字符: /","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","nameStartWithMessage","Names should not start or end with spaces","名称不应以空格开头或结束","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","newFolderTitle","New Folder","新建文件夹","Core 相关界面中的标题（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","newSessionCheckLabel","Open in new session","在新会话中打开","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","nextButtonText","Next","下一个","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","noLabel","No","否","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","nonexistentFileMessage","File does not exist","文件不存在","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","normalState","Restore {0}","恢复 {0}","Core 相关界面中的界面文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","notValidNumberMessage","Not a valid number.","不是有效的数字。","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","notYetImplementedCaption","Not Yet Implemented","尚未实现","Core 相关界面中的标题（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","notYetImplementedMessage","This feature has not yet been implemented.","此功能尚未实现。","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","okayLabel","OK","确定","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","okButtonTitle","OK","确定","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","onSubmitErrorMessage","Unexpected empty response from server","服务器返回了意外的空响应","Core 相关界面中的提示或说明文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","openButtonTitle","Open","打开","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","openProjectTitle","Open Project","打开项目","Core 相关界面中的标题（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","operationCompletedText","Operation completed ","操作已完成","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","otherGroupName","Other","其他","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","otherPackagesMessage","Packages {0}, {1}, and {2} others required but are not installed.","需要程序包 {0}、{1} 及另外 {2} 个程序包，但尚未安装。","Core 相关界面中的提示或说明文本（CoreClient 资源）。","{0} | {1} | {2}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","package1Message","Package {0} required but is not installed.","需要程序包 {0}，但尚未安装。","Core 相关界面中的提示或说明文本（CoreClient 资源）。","{0}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","packages2Message","Packages {0} and {1} required but are not installed.","需要程序包 {0} 和 {1}，但尚未安装。","Core 相关界面中的提示或说明文本（CoreClient 资源）。","{0} | {1}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","packages3Message","Packages {0}, {1}, and {2} required but are not installed.","需要程序包 {0}、{1} 和 {2}，但尚未安装。","Core 相关界面中的提示或说明文本（CoreClient 资源）。","{0} | {1} | {2}",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","panesGroupName","Panes","窗格","Core 相关界面中的标签或显示文本（CoreClient 资源）。","",""
"GWT / Core","translations/2026.08.1+195/upstream/src/gwt/src/org/rstudio/core/client/CoreClientConstants_zh_CN.properties","pathBreadCrumbButtonTitle","Go to directory","转到目录","Core 相关界面中的按钮或操作项（CoreClient 资源）。","",""
